fixture_id,date,round,home_team,away_team,position,home_pair,away_pair,winning_pair,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergencies,away_emergencies
UA001013,19 Jul 26,1,Highmoor Uniting,Black Rock,No. 1,Lazar Suluburic / Luka Suluburic,Jack James / Luke Desmond,Lazar Suluburic / Luka Suluburic,8-5,8,5,1,0,Completed,true,"[false, false]","[false, false]"
UA001014,19 Jul 26,1,Caulfield Rec,Mentone,No. 1,Egor Barabanov / Pranav Arora,Henri De Guzman / Joshua Tesler,Egor Barabanov / Pranav Arora,8-3,8,3,1,0,Completed,true,"[false, false]","[false, false]"
UA001021,26 Jul 26,2,Mentone,BLTC Blue,No. 1,Xavier Ashlock / Joshua Tesler,Andrew Livermore / Lucas Hansen,Andrew Livermore / Lucas Hansen,0-8,0,8,0,1,Completed,true,"[false, false]","[true, true]"
UA001022,26 Jul 26,2,BLTC White,BLTC Green,No. 1,William Chu / Adyaan Tata,Kevin Wang / Lucas Zhou,Kevin Wang / Lucas Zhou,6-8,6,8,0,1,Completed,true,"[false, true]","[false, false]"
UA001023,26 Jul 26,2,Royal South Yarra,Highmoor Uniting,No. 1,Tom Anderson / Connor Le Page,Erik Bucko / Lazar Suluburic,Erik Bucko / Lazar Suluburic,3-8,3,8,0,1,Completed,true,"[false, false]","[false, false]"
UA001024,26 Jul 26,2,Black Rock,Caulfield Rec,No. 1,Joseph Desmond / Luke Desmond,Tomas Albani / Pranav Arora,Joseph Desmond / Luke Desmond,8-3,8,3,1,0,Completed,true,"[false, false]","[true, false]"
UA001031,2 Aug 26,3,BLTC Blue,Black Rock,No. 1,Andrew Livermore / Lucas Hansen,Max Looschilder / Joseph Desmond,Andrew Livermore / Lucas Hansen,8-4,8,4,1,0,Completed,true,"[true, true]","[false, false]"
UA001032,2 Aug 26,3,BLTC Green,Mentone,No. 1,William Kallos / William Zichen Wang,Xavier Ashlock / Henri De Guzman,William Kallos / William Zichen Wang,8-2,8,2,1,0,Completed,true,"[true, false]","[false, false]"
UA001033,2 Aug 26,3,Highmoor Uniting,BLTC White,No. 1,Erik Bucko / Lazar Suluburic,William Chu / Lucas Zhou,Erik Bucko / Lazar Suluburic,9-8,9,8,1,0,Completed,true,"[false, false]","[false, true]"
UA001034,2 Aug 26,3,Caulfield Rec,Royal South Yarra,No. 1,Min Cheng (duncan) Hung / Egor Barabanov,Thomas Chard / Max Shepherd,Min Cheng (duncan) Hung / Egor Barabanov,8-0,8,0,1,0,Completed,true,"[false, false]","[false, true]"
UA001041,9 Aug 26,4,Royal South Yarra,BLTC Blue,No. 1,Connor Le Page / Sebastian Parmenov,Adyaan Tata / Andrew Livermore,Adyaan Tata / Andrew Livermore,5-8,5,8,0,1,Completed,true,"[false, true]","[true, true]"
